id,parti,Elected,How.long.have.you.had.a.position.in.your.current.party,Did.you.run.a.personal.campagn,In.which.country.were.you.born,Reinstate_InheritanceTax,Increase_TaxDeductionsPersonalHelp,ReimburseonlyInterestonMortgage_Possible,Remove_StateSupportConstructionRentHousing,Sweden_MulticulturalSociety,Sweden_LessRefugees,Ban_PublicCallstoPrayer,LowerSalary_Immigrants,GenderQuotas_Companies,ParentalLeaveEquallyDividedbyLaw,FinanceCulturePrivateActors,Dismantle_PublicJobAgency,SmallCompanies_FreedomtoFire,Lower_TaxonLabor,PoliceShouldFocusonExpulsionofIllegals,RemoveParoleforConvictedCriminals,Ban_Mendicity,Remove_TaxonFlights,Ban_MotorEnginesSalesby2025,Ban_UniqueUsePlast,Build_NuclearPowerPlants,Introduce_GoodBehaviorNoteatSchool,Ban_ReligiousSchools,StatesTakesoverSchool.fromMunicipalities.,Limit_PrivateSchoolsProfits,LowerCostLabor_DesertAreas,EaseConstruction_CoastalAreas,IncreaseRedistributionFromRichtoPoorMunicipalities,Sweden_joinNATO,Sweden_LeaveEU,StatesTakesoverHealthcarefromRegions,AdvancedMedecineonlyBigHospitals,IntroduceThirdSex,Which.of.these.areas.should.we.prioritize.in.the.budget...Max.3
273195,Miljöpartiet,,10-20 year(s),Nej,Sverige,Against,Against,Against,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,Against,Against,Against,In_Favor,Against,Against,Against,Against,In_Favor,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,Infrastruktur och kommunikationer|Utbildning och forskning|Sjuka och personer med funktionsnedsättning
21961,Miljöpartiet,,4-9 year(s),Nej,Sverige,In_Favor,Against,Against,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,Against,Against,Against,Against,In_Favor,In_Favor,Against,Against,Against,Against,Against,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,Infrastruktur och kommunikationer|Utbildning och forskning|Sjuka och personer med funktionsnedsättning
185429,Kristdemokraterna,,10-20 year(s),Ja,Sverige,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,Against,In_Favor,In_Favor,Against,Against,Against,In_Favor,In_Favor,Against,Against,Against,In_Favor,In_Favor,Against,Infrastruktur och kommunikationer|Pensioner och stöd till äldre|Sjuka och personer med funktionsnedsättning
185434,Kristdemokraterna,,10-20 year(s),Ja,Sverige,Against,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,In_Favor,Against,Against,Against,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,Against,Försvar och säkerhet|Utbildning och forskning|Sjuka och personer med funktionsnedsättning
249296,Liberalerna,,1-3 year(s),Ja,USA,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,Against,In_Favor,Against,Against,In_Favor,In_Favor,Försvar och säkerhet|Utbildning och forskning|Sänkta skatter
356898,Kristdemokraterna,,4-9 year(s),Nej,Sverige,Against,Against,Against,Against,In_Favor,No_Answer,In_Favor,In_Favor,Against,Against,No_Answer,Against,In_Favor,In_Favor,In_Favor,No_Answer,Against,Against,In_Favor,Against,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,Against,Migration och integration|Polis och rättsväsende|Sänkta skatter
14993,Liberalerna,,10-20 year(s),Nej,Sverige,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,No_Answer,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,Försvar och säkerhet|Polis och rättsväsende|Utbildning och forskning
251756,Kristdemokraterna,,1-3 year(s),Nej,Nigeria,In_Favor,Against,Against,Against,In_Favor,Against,In_Favor,In_Favor,No_Answer,Against,No_Answer,Against,Against,Against,Against,No_Answer,No_Answer,Against,No_Answer,In_Favor,No_Answer,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,No_Answer,In_Favor,In_Favor,In_Favor,In_Favor,Against,No_Answer,Barnbidrag och föräldraförsäkring|Pensioner och stöd till äldre|Utbildning och forskning
57872,Centerpartiet,,Over 20 years,Ja,Sverige,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,Polis och rättsväsende|Sjuka och personer med funktionsnedsättning|Sänkta skatter
215974,Moderaterna,,10-20 year(s),Ja,Sverige,Against,In_Favor,Against,No_Answer,In_Favor,No_Answer,No_Answer,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,No_Answer,In_Favor,No_Answer,In_Favor,Against,Against,No_Answer,No_Answer,No_Answer,In_Favor,Against,Against,In_Favor,No_Answer,No_Answer,Against,In_Favor,No_Answer,Against,Utbildning och forskning|Sjuka och personer med funktionsnedsättning|Sänkta skatter
71908,Vänsterpartiet,,,,,In_Favor,Against,No_Answer,Against,In_Favor,Against,Against,Against,No_Answer,In_Favor,Against,Against,Against,No_Answer,Against,Against,Against,Against,No_Answer,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,No_Answer,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,Infrastruktur och kommunikationer|Migration och integration|Utbildning och forskning
360922,Centerpartiet,,1-3 year(s),Nej,Sverige,Against,In_Favor,Against,No_Answer,In_Favor,No_Answer,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,No_Answer,In_Favor,No_Answer,In_Favor,No_Answer,In_Favor,In_Favor,In_Favor,No_Answer,No_Answer,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,No_Answer,Against,Against,Arbetsmarknadsåtgärder|Försvar och säkerhet|Polis och rättsväsende
113346,Miljöpartiet,,4-9 year(s),,Finland,Against,No_Answer,Against,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,Against,Against,Against,Against,Against,Against,Against,Against,In_Favor,In_Favor,Against,Against,Against,Against,In_Favor,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,Försvar och säkerhet|Pensioner och stöd till äldre|Utbildning och forskning
60865,Liberalerna,,Over 20 years,Ja,Sverige,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,Försvar och säkerhet|Utbildning och forskning|Sänkta skatter
28190,Liberalerna,,Over 20 years,Ja,Sverige,Against,In_Favor,Against,In_Favor,In_Favor,Against,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,Infrastruktur och kommunikationer|Pensioner och stöd till äldre|Sjuka och personer med funktionsnedsättning
108883,Vänsterpartiet,,4-9 year(s),Nej,Sverige,In_Favor,Against,No_Answer,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,Against,Against,Against,No_Answer,Against,Against,Against,Against,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,In_Favor,Against,In_Favor,Infrastruktur och kommunikationer|Utbildning och forskning|Sjuka och personer med funktionsnedsättning
210372,Liberalerna,,Less than a year,Ja,Sverige,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,Against,In_Favor,In_Favor,Försvar och säkerhet|Utbildning och forskning|Sänkta skatter
57882,Centerpartiet,,1-3 year(s),Ja,Sverige,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,Against,Against,In_Favor,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,Försvar och säkerhet|Polis och rättsväsende|Utbildning och forskning
25033,Liberalerna,,1-3 year(s),,,Against,In_Favor,Against,Against,In_Favor,Against,In_Favor,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,No_Answer,Infrastruktur och kommunikationer|Polis och rättsväsende|Utbildning och forskning
8519,Centerpartiet,x,Over 20 years,Ja,Sverige,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,Polis och rättsväsende|Sjuka och personer med funktionsnedsättning|Sänkta skatter
335602,Kristdemokraterna,,1-3 year(s),Ja,Sverige,Against,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,Against,Against,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,Against,Pensioner och stöd till äldre|Polis och rättsväsende|Sjuka och personer med funktionsnedsättning
17254,Miljöpartiet,,10-20 year(s),Nej,Sverige,Against,Against,Against,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,Against,Against,Against,In_Favor,Against,Against,Against,Against,In_Favor,In_Favor,Against,Against,Against,Against,Against,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,Infrastruktur och kommunikationer|Utbildning och forskning|Sjuka och personer med funktionsnedsättning
52497,Moderaterna,,10-20 year(s),Ja,Sverige,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,Against,Against,Against,In_Favor,In_Favor,Against,In_Favor,Against,Against,In_Favor,Against,Infrastruktur och kommunikationer|Utbildning och forskning|Sänkta skatter
8526,Centerpartiet,x,10-20 year(s),Ja,Iran,Against,In_Favor,Against,In_Favor,In_Favor,Against,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,Polis och rättsväsende|Sjuka och personer med funktionsnedsättning|Sänkta skatter
49177,Liberalerna,,4-9 year(s),Ja,Sverige,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,Against,In_Favor,In_Favor,Försvar och säkerhet|Utbildning och forskning|Sänkta skatter
114106,Miljöpartiet,,4-9 year(s),Nej,Sverige,No_Answer,Against,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,No_Answer,Against,Against,Against,Against,No_Answer,Against,Against,In_Favor,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,Against,No_Answer,Against,Against,Against,In_Favor,In_Favor,Infrastruktur och kommunikationer|Migration och integration|Utbildning och forskning
3207,Centerpartiet,,4-9 year(s),Nej,Sverige,Against,In_Favor,In_Favor,Against,In_Favor,Against,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,Försvar och säkerhet|Polis och rättsväsende|Utbildning och forskning
2178,Liberalerna,,4-9 year(s),Ja,Turkisk,Against,No_Answer,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,No_Answer,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,Against,In_Favor,Against,Against,Against,Against,Arbetsmarknadsåtgärder|Polis och rättsväsende|Sänkta skatter
190063,Centerpartiet,,Less than a year,Nej,Azerbajdzan,No_Answer,In_Favor,Against,Against,In_Favor,Against,Against,In_Favor,No_Answer,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,No_Answer,Against,In_Favor,In_Favor,In_Favor,Against,No_Answer,Against,Against,Against,No_Answer,In_Favor,Against,In_Favor,Against,Against,No_Answer,In_Favor,Barnbidrag och föräldraförsäkring|Polis och rättsväsende|Sänkta skatter
243427,Moderaterna,x,4-9 year(s),Ja,Sverige,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,No_Answer,Försvar och säkerhet|Pensioner och stöd till äldre|Polis och rättsväsende
49205,Liberalerna,,10-20 year(s),Ja,Sverige,Against,In_Favor,In_Favor,Against,Against,No_Answer,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,Against,No_Answer,In_Favor,Against,Against,Against,Against,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,Against,Against,Infrastruktur och kommunikationer|Migration och integration|Polis och rättsväsende
1876,Centerpartiet,,10-20 year(s),Nej,Sverige,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,Polis och rättsväsende|Sjuka och personer med funktionsnedsättning|Sänkta skatter
175346,Miljöpartiet,,None,Nej,Sverige,In_Favor,Against,Against,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,Against,Against,Against,Against,Against,Against,Against,In_Favor,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,Arbetsmarknadsåtgärder|Infrastruktur och kommunikationer
42998,Moderaterna,,4-9 year(s),Ja,Sverige,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,Infrastruktur och kommunikationer|Försvar och säkerhet|Polis och rättsväsende
228550,Socialdemokraterna,,Over 20 years,Nej,Sverige,Against,Against,Against,Against,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,Against,Against,Against,Against,In_Favor,Against,Against,Against,Against,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,Against,In_Favor,Against,Pensioner och stöd till äldre|Polis och rättsväsende|Sjuka och personer med funktionsnedsättning
179749,Centerpartiet,,Over 20 years,Ja,Sverige,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,No_Answer,Infrastruktur och kommunikationer|Polis och rättsväsende|Sjuka och personer med funktionsnedsättning
179877,Vänsterpartiet,,4-9 year(s),Nej,Sverige,In_Favor,Against,Against,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,Against,Against,Against,Against,Against,Against,Against,Against,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,In_Favor,Against,In_Favor,Arbetsmarknadsåtgärder|Migration och integration|Utbildning och forskning
49192,Liberalerna,,1-3 year(s),Nej,Iran,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,Against,In_Favor,In_Favor,Arbetsmarknadsåtgärder|Försvar och säkerhet|Polis och rättsväsende
29161,Socialdemokraterna,,4-9 year(s),Nej,"Kurdistan, norra Irak",In_Favor,,No_Answer,Against,In_Favor,Against,No_Answer,Against,In_Favor,In_Favor,Against,Against,Against,Against,No_Answer,No_Answer,Against,Against,In_Favor,In_Favor,Against,Against,In_Favor,No_Answer,In_Favor,No_Answer,Against,In_Favor,No_Answer,Against,No_Answer,In_Favor,In_Favor,Arbetsmarknadsåtgärder|Pensioner och stöd till äldre|Utbildning och forskning
149999,Socialdemokraterna,,4-9 year(s),,Sverige,Against,Against,Against,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,Against,Against,Against,Against,In_Favor,Against,Against,Against,Against,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,Against,Against,In_Favor,Pensioner och stöd till äldre|Polis och rättsväsende|Sjuka och personer med funktionsnedsättning
237424,Centerpartiet,,Over 20 years,Ja,Sverige,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,Polis och rättsväsende|Sjuka och personer med funktionsnedsättning|Sänkta skatter
37093,Centerpartiet,,None,Nej,Sverige,Against,No_Answer,Against,Against,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,In_Favor,Against,Against,Against,Against,No_Answer,Infrastruktur och kommunikationer|Migration och integration|Polis och rättsväsende
179753,Centerpartiet,,4-9 year(s),Nej,Sverige,Against,In_Favor,Against,Against,In_Favor,Against,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,No_Answer,Against,In_Favor,Against,In_Favor,Against,In_Favor,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,Against,Against,Against,Against,Against,Arbetsmarknadsåtgärder|Infrastruktur och kommunikationer|Polis och rättsväsende
47356,Centerpartiet,,4-9 year(s),Ja,Sverige,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,Against,Against,Against,Against,Against,In_Favor,In_Favor,In_Favor,Against,Against,Against,Against,In_Favor,Infrastruktur och kommunikationer|Pensioner och stöd till äldre|Utbildning och forskning
15849,Centerpartiet,,Over 20 years,Ja,Sverige,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,Against,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,Infrastruktur och kommunikationer|Polis och rättsväsende|Utbildning och forskning
1868,Centerpartiet,,10-20 year(s),Nej,Sverige,Against,In_Favor,Against,In_Favor,In_Favor,Against,Against,No_Answer,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,Polis och rättsväsende|Utbildning och forskning|Sjuka och personer med funktionsnedsättning
1896,Centerpartiet,,None,Ja,Sverige,Against,In_Favor,Against,In_Favor,In_Favor,In_Favor,Against,In_Favor,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,Against,In_Favor,Against,In_Favor,Against,Against,Against,In_Favor,In_Favor,In_Favor,In_Favor,Against,Against,In_Favor,In_Favor,Infrastruktur och kommunikationer|Polis och rättsväsende|Sjuka och personer med funktionsnedsättning
