resID,choID,atmilitary1,atreligion1,ated1,atprof1,atrace1,atmale1,atage1,atinc1,rating1,selected1,atmilitary2,atreligion2,ated2,atprof2,atrace2,atmale2,atage2,atinc2,rating2,selected2
A12H2RTXSAQPRH,237,Served,None,State university,Doctor,Black,Male,60,210,5,1,Did Not Serve,Evangelical protestant,State university,Doctor,White,Male,36,65,4,0
A13DPXX91VQ49Q,699,Did Not Serve,None,Small college,Lawyer,Caucasian,Female,60,54,4,1,Did Not Serve,Mormon,Community college,Doctor,Hispanic,Female,75,92,3,0
A13DPXX91VQ49Q,700,Did Not Serve,Jewish,Small college,High school teacher,Hispanic,Male,68,65,4,1,Served,Mormon,State university,Farmer,Hispanic,Male,36,5100,3,0
A13DPXX91VQ49Q,701,Did Not Serve,Mainline protestant,No BA,Business owner,White,Male,60,92,3,0,Did Not Serve,Evangelical protestant,Small college,Farmer,Hispanic,Male,60,32,4,1
A13DPXX91VQ49Q,702,Did Not Serve,None,No BA,Car dealer,Caucasian,Female,52,210,3,0,Served,Mormon,Small college,High school teacher,Caucasian,Female,60,5100,4,1
A13DPXX91VQ49Q,703,Served,Jewish,Community college,Lawyer,Native American,Male,45,65,4,1,Did Not Serve,Mormon,No BA,Car dealer,Asian American,Female,68,5100,3,0
A13DPXX91VQ49Q,704,Did Not Serve,Mainline protestant,Small college,Lawyer,Asian American,Male,75,210,4,1,Served,Mormon,Ivy League university,Car dealer,Caucasian,Female,36,54,3,0
A13KTOZC30NBS6,1445,Did Not Serve,Mormon,State university,Car dealer,White,Female,52,5100,3,0,Served,Evangelical protestant,Community college,Lawyer,Native American,Male,68,92,4,1
A13KTOZC30NBS6,1446,Served,Jewish,No BA,Car dealer,Black,Female,68,210,5,1,Did Not Serve,Jewish,Small college,Car dealer,Caucasian,Male,60,92,3,0
A13KTOZC30NBS6,1447,Did Not Serve,Mormon,State university,Lawyer,Hispanic,Male,60,32,4,0,Did Not Serve,Catholic,Community college,Car dealer,Native American,Male,75,5100,3,1
A13KTOZC30NBS6,1448,Served,None,Baptist college,High school teacher,Asian American,Male,36,5100,5,1,Did Not Serve,Jewish,No BA,Lawyer,Asian American,Male,60,32,3,0
A13KTOZC30NBS6,1449,Did Not Serve,Catholic,No BA,Farmer,White,Female,36,5100,5,0,Served,Catholic,State university,Doctor,White,Female,60,5100,3,1
A142W1RAF1TBWP,901,Did Not Serve,Catholic,No BA,Car dealer,Black,Female,75,210,5,0,Served,Mainline protestant,Small college,Business owner,Asian American,Female,45,210,5,1
A142W1RAF1TBWP,902,Did Not Serve,Evangelical protestant,Small college,Business owner,Native American,Female,36,32,4,0,Served,Evangelical protestant,Community college,High school teacher,Asian American,Male,45,92,4,1
A142W1RAF1TBWP,903,Did Not Serve,Evangelical protestant,State university,Farmer,Asian American,Female,60,32,4,0,Served,Jewish,Ivy League university,Doctor,Native American,Male,75,32,4,1
A142W1RAF1TBWP,904,Served,Mainline protestant,Ivy League university,Business owner,Hispanic,Male,60,92,4,1,Served,Catholic,No BA,Lawyer,Native American,Female,60,54,4,0
A142W1RAF1TBWP,905,Served,Jewish,State university,Doctor,Hispanic,Female,68,210,4,1,Served,Jewish,Small college,Car dealer,Native American,Male,36,210,4,0
A142W1RAF1TBWP,906,Served,Evangelical protestant,No BA,Doctor,Native American,Female,60,210,4,1,Did Not Serve,None,State university,Doctor,Hispanic,Female,52,65,4,0
A15A4X84A1CJPF,729,Did Not Serve,Mormon,State university,Business owner,Hispanic,Male,36,210,5,1,Did Not Serve,Evangelical protestant,Ivy League university,Lawyer,Black,Male,68,92,3,0
A15A4X84A1CJPF,730,Did Not Serve,Catholic,No BA,Farmer,Caucasian,Female,60,92,4,0,Served,Jewish,Small college,Business owner,Native American,Male,60,54,5,1
A15A4X84A1CJPF,731,Served,Jewish,Small college,High school teacher,Black,Male,45,32,5,1,Served,Catholic,Baptist college,Lawyer,Caucasian,Female,45,54,3,0
A15A4X84A1CJPF,732,Served,Mainline protestant,No BA,Business owner,Asian American,Female,68,5100,4,1,Served,Catholic,Ivy League university,Car dealer,White,Female,68,92,3,0
A15A4X84A1CJPF,733,Did Not Serve,None,State university,Business owner,Asian American,Male,52,32,5,1,Did Not Serve,None,No BA,High school teacher,White,Male,60,32,3,0
A15A4X84A1CJPF,734,Served,Mainline protestant,State university,Business owner,Native American,Male,75,210,5,1,Did Not Serve,None,No BA,Doctor,Caucasian,Male,36,65,3,0
A15Q5F9YWO45EI,1486,Did Not Serve,Mainline protestant,Baptist college,High school teacher,Hispanic,Female,60,5100,4,0,Served,Evangelical protestant,Baptist college,Car dealer,Native American,Female,60,32,6,1
A15Q5F9YWO45EI,1487,Served,None,Community college,Car dealer,Native American,Female,75,92,4,0,Did Not Serve,Jewish,State university,High school teacher,Caucasian,Male,52,65,6,1
A15Q5F9YWO45EI,1488,Served,Jewish,No BA,Car dealer,Hispanic,Male,45,32,4,1,Did Not Serve,Catholic,No BA,High school teacher,Black,Female,68,54,3,0
A15Q5F9YWO45EI,1489,Served,Evangelical protestant,Small college,Doctor,Asian American,Female,75,5100,4,0,Did Not Serve,Catholic,Ivy League university,Lawyer,Asian American,Male,45,65,5,1
A15Q5F9YWO45EI,1490,Served,None,No BA,High school teacher,Caucasian,Male,60,5100,2,1,Did Not Serve,Mormon,No BA,Doctor,Asian American,Male,75,54,1,0
A15Q5F9YWO45EI,1491,Did Not Serve,Evangelical protestant,Baptist college,Farmer,Caucasian,Female,36,5100,4,1,Did Not Serve,Catholic,State university,Lawyer,Native American,Female,45,5100,3,0
A1610EPXM31F9D,943,Served,Evangelical protestant,State university,Car dealer,Asian American,Male,75,32,2,0,Served,Jewish,State university,High school teacher,White,Male,36,210,5,1
A1610EPXM31F9D,944,Served,Mainline protestant,No BA,Farmer,Hispanic,Female,68,54,2,0,Served,Mainline protestant,Ivy League university,Doctor,Hispanic,Male,52,54,5,1
A1610EPXM31F9D,945,Served,Jewish,Baptist college,High school teacher,White,Male,52,54,5,1,Served,Mormon,No BA,Farmer,Black,Female,60,65,2,0
A1610EPXM31F9D,946,Did Not Serve,Mainline protestant,Community college,Car dealer,Hispanic,Male,75,5100,3,0,Did Not Serve,Mainline protestant,Baptist college,High school teacher,White,Male,52,5100,5,1
A1610EPXM31F9D,947,Served,Jewish,No BA,High school teacher,Asian American,Female,68,210,5,1,Served,Mormon,No BA,Lawyer,Black,Female,36,32,4,0
A1610EPXM31F9D,948,Did Not Serve,Evangelical protestant,Baptist college,High school teacher,Caucasian,Female,68,65,4,0,Did Not Serve,Jewish,Ivy League university,Doctor,Asian American,Male,60,32,5,1
A1650FELH3UL2F,516,Did Not Serve,None,Baptist college,Car dealer,Native American,Male,68,5100,3,0,Did Not Serve,Evangelical protestant,Ivy League university,Doctor,Hispanic,Male,60,54,3,1
A1650FELH3UL2F,517,Did Not Serve,Jewish,Baptist college,Farmer,White,Female,60,5100,3,0,Served,Mormon,Small college,Business owner,Caucasian,Male,45,5100,3,1
A1650FELH3UL2F,518,Did Not Serve,Mormon,Community college,Doctor,Asian American,Male,60,5100,2,0,Served,Evangelical protestant,State university,Lawyer,Caucasian,Male,45,65,4,1
A1650FELH3UL2F,519,Did Not Serve,Evangelical protestant,Small college,Farmer,Caucasian,Male,75,5100,1,0,Served,Mormon,Baptist college,Farmer,Black,Male,52,5100,4,1
A1650FELH3UL2F,520,Served,None,Baptist college,Lawyer,Asian American,Male,52,92,4,1,Served,Mainline protestant,Community college,Doctor,Asian American,Female,68,5100,4,0
A16S6LELX5WBRM,753,Did Not Serve,Mormon,Ivy League university,High school teacher,Native American,Male,36,65,3,0,Served,Evangelical protestant,Small college,Business owner,Asian American,Female,52,32,5,1
A16S6LELX5WBRM,754,Served,Mormon,State university,Car dealer,Hispanic,Male,36,92,2,0,Served,None,Community college,Business owner,Asian American,Male,45,5100,3,1
A16S6LELX5WBRM,755,Did Not Serve,Jewish,Baptist college,Car dealer,Caucasian,Male,52,32,3,1,Did Not Serve,Catholic,No BA,Farmer,Hispanic,Female,60,92,2,0
A16S6LELX5WBRM,756,Served,Mainline protestant,Baptist college,Car dealer,White,Female,75,92,1,0,Did Not Serve,None,Community college,Farmer,Asian American,Male,60,5100,2,1
A16S6LELX5WBRM,757,Did Not Serve,Jewish,Community college,Lawyer,Asian American,Male,52,54,3,1,Did Not Serve,Evangelical protestant,Baptist college,Car dealer,White,Female,68,92,2,0
A17B7SIHJ4UQDT,717,Did Not Serve,Mormon,Ivy League university,Car dealer,Native American,Female,68,65,4,0,Served,Mainline protestant,Community college,Business owner,Asian American,Female,60,92,5,1
A17B7SIHJ4UQDT,718,Did Not Serve,None,Small college,Lawyer,Asian American,Male,52,5100,5,1,Did Not Serve,None,State university,Farmer,Black,Female,52,210,4,0
A17B7SIHJ4UQDT,719,Did Not Serve,Mainline protestant,Community college,Farmer,White,Male,75,32,5,1,Did Not Serve,None,No BA,Doctor,Asian American,Male,60,210,3,0
A17B7SIHJ4UQDT,720,Did Not Serve,Jewish,State university,Doctor,Hispanic,Female,68,210,4,0,Served,Catholic,State university,Lawyer,Native American,Male,52,65,6,1
A17B7SIHJ4UQDT,721,Served,Jewish,Ivy League university,Farmer,Hispanic,Male,52,65,4,1,Served,Evangelical protestant,Small college,Lawyer,Asian American,Female,60,210,3,0
A17B7SIHJ4UQDT,722,Served,Catholic,State university,Farmer,White,Male,45,32,3,0,Served,Jewish,No BA,Business owner,White,Female,68,54,4,1
A195MOXRMNHRVT,75,Did Not Serve,Mainline protestant,Community college,Business owner,Asian American,Female,45,65,4,1,Did Not Serve,None,Baptist college,Farmer,Caucasian,Female,68,54,4,0
A195MOXRMNHRVT,76,Served,Mainline protestant,Ivy League university,Farmer,Native American,Female,52,92,4,1,Did Not Serve,Evangelical protestant,Small college,Farmer,Native American,Female,75,65,3,0
A195MOXRMNHRVT,77,Served,Jewish,Ivy League university,Lawyer,Hispanic,Female,52,32,4,1,Served,Mormon,Ivy League university,Car dealer,Hispanic,Female,68,5100,3,0
A195MOXRMNHRVT,78,Did Not Serve,Mormon,Small college,Business owner,Black,Male,68,54,4,1,Did Not Serve,Jewish,Community college,Doctor,Black,Male,45,5100,4,0
A195XYZ0T4XCC5,937,Did Not Serve,Mormon,No BA,Lawyer,Asian American,Male,75,54,5,0,Did Not Serve,Catholic,Ivy League university,Doctor,White,Male,60,54,,1
A195XYZ0T4XCC5,938,Did Not Serve,Evangelical protestant,Small college,Doctor,White,Male,36,210,6,0,Did Not Serve,None,Small college,High school teacher,Hispanic,Female,68,65,3,1
A195XYZ0T4XCC5,939,Did Not Serve,Evangelical protestant,Community college,High school teacher,Black,Male,45,5100,5,0,Did Not Serve,Jewish,Ivy League university,Lawyer,Hispanic,Female,60,32,2,1
A195XYZ0T4XCC5,940,Did Not Serve,Jewish,State university,Doctor,Caucasian,Female,36,32,6,1,Served,None,No BA,Farmer,Asian American,Male,75,32,4,0
A195XYZ0T4XCC5,941,Did Not Serve,Mormon,Community college,Business owner,Caucasian,Female,45,92,5,0,Did Not Serve,Catholic,Community college,Doctor,Hispanic,Female,45,54,5,1
A195XYZ0T4XCC5,942,Did Not Serve,Jewish,Community college,High school teacher,Black,Female,45,65,6,1,Did Not Serve,Mormon,No BA,Business owner,Asian American,Male,68,92,4,0
A1ANPA5XNKB8L5,382,Served,Mainline protestant,Community college,Doctor,Native American,Female,75,92,3,0,Did Not Serve,Catholic,State university,Car dealer,Hispanic,Female,45,210,4,1
A1ANPA5XNKB8L5,383,Served,Jewish,Baptist college,Lawyer,Black,Female,60,92,4,0,Served,Catholic,Baptist college,Lawyer,Hispanic,Male,75,32,3,1
A1ANPA5XNKB8L5,384,Did Not Serve,Mormon,No BA,Business owner,Caucasian,Female,45,5100,4,1,Did Not Serve,Evangelical protestant,Ivy League university,Farmer,Black,Female,52,210,3,0
A1ANPA5XNKB8L5,385,Served,Jewish,No BA,Doctor,Black,Male,68,92,4,0,Served,Mainline protestant,Ivy League university,Car dealer,Native American,Male,52,65,3,1
A1ANPA5XNKB8L5,386,Did Not Serve,Jewish,Small college,Doctor,Native American,Male,36,32,4,1,Served,Catholic,State university,High school teacher,White,Female,45,92,3,0
A1B5G9IXNRROII,45,Did Not Serve,None,Community college,High school teacher,Black,Male,75,5100,4,0,Served,Jewish,State university,Farmer,White,Female,45,54,6,1
A1B5G9IXNRROII,46,Did Not Serve,Evangelical protestant,Ivy League university,Business owner,Asian American,Male,68,65,3,0,Served,None,Baptist college,Car dealer,Black,Male,68,54,5,1
A1B5G9IXNRROII,47,Did Not Serve,None,Ivy League university,Business owner,Asian American,Female,75,65,4,0,Did Not Serve,Mormon,Ivy League university,Car dealer,Native American,Female,68,32,5,1
A1B5G9IXNRROII,48,Did Not Serve,Mormon,Small college,Lawyer,Hispanic,Male,68,54,3,1,Did Not Serve,Mainline protestant,Baptist college,Car dealer,Asian American,Male,68,32,2,0
A1B5G9IXNRROII,49,Did Not Serve,Mormon,State university,High school teacher,Hispanic,Male,60,65,4,0,Served,None,Small college,Car dealer,Caucasian,Male,60,54,5,1
A1B6QBTCQHEHHK,387,Served,Jewish,Community college,Lawyer,Native American,Female,45,54,3,1,Served,Catholic,State university,High school teacher,Hispanic,Female,68,32,2,0
A1B6QBTCQHEHHK,388,Served,None,No BA,Farmer,Asian American,Female,45,5100,5,1,Did Not Serve,Evangelical protestant,Small college,High school teacher,White,Female,36,32,4,0
A1B6QBTCQHEHHK,389,Served,Jewish,State university,Lawyer,White,Female,36,32,5,1,Did Not Serve,Mormon,Ivy League university,Car dealer,Hispanic,Male,52,210,2,0
A1B6QBTCQHEHHK,390,Served,Mormon,Community college,Farmer,Caucasian,Male,75,5100,2,0,Did Not Serve,Mainline protestant,Ivy League university,Farmer,Native American,Female,68,54,4,1
A1B6QBTCQHEHHK,391,Did Not Serve,None,State university,Farmer,Hispanic,Female,45,210,3,0,Served,None,Ivy League university,High school teacher,Native American,Female,60,65,5,1
A1BCF7200M357P,55,Served,Catholic,Baptist college,Car dealer,Caucasian,Female,36,210,2,0,Served,Mormon,Small college,Lawyer,White,Female,68,54,3,1
A1BCF7200M357P,56,Served,Mainline protestant,Ivy League university,High school teacher,Asian American,Female,52,210,3,0,Did Not Serve,None,Ivy League university,Farmer,Black,Male,60,92,5,1
A1BCF7200M357P,57,Did Not Serve,Mainline protestant,Ivy League university,Farmer,Caucasian,Female,68,5100,2,0,Did Not Serve,Mormon,Ivy League university,High school teacher,White,Female,36,210,3,1
A1BCF7200M357P,58,Did Not Serve,Jewish,State university,Business owner,Hispanic,Male,60,210,3,1,Served,Evangelical protestant,State university,Business owner,Caucasian,Male,36,210,1,0
A1BCF7200M357P,59,Did Not Serve,Catholic,Baptist college,Doctor,Native American,Male,75,54,2,1,Served,Evangelical protestant,Baptist college,High school teacher,White,Male,75,92,2,0
A1BRWNXT8OBBK4,1716,Did Not Serve,Mainline protestant,Baptist college,Car dealer,Asian American,Female,45,210,1,0,Did Not Serve,None,State university,Car dealer,Black,Male,52,32,1,1
A1BRWNXT8OBBK4,1717,Did Not Serve,Evangelical protestant,Small college,High school teacher,Asian American,Female,52,92,1,1,Served,Mormon,No BA,High school teacher,Native American,Male,36,32,1,0
A1BRWNXT8OBBK4,1718,Served,None,Community college,Car dealer,White,Female,75,32,3,1,Did Not Serve,Mormon,Community college,Business owner,Hispanic,Male,60,92,3,0
A1BRWNXT8OBBK4,1719,Did Not Serve,Mainline protestant,Ivy League university,High school teacher,Hispanic,Male,36,32,1,0,Did Not Serve,Mainline protestant,Ivy League university,Car dealer,White,Male,45,5100,1,1
A1BRWNXT8OBBK4,1720,Did Not Serve,Mormon,Small college,High school teacher,White,Female,36,92,1,0,Did Not Serve,Jewish,Baptist college,High school teacher,Black,Male,68,65,1,1
A1BRWNXT8OBBK4,1721,Did Not Serve,None,Small college,High school teacher,Black,Female,75,65,1,0,Served,Catholic,State university,Car dealer,Asian American,Female,75,54,1,1
A1CDHU1KJTE1IJ,1728,Did Not Serve,Evangelical protestant,Ivy League university,Business owner,Caucasian,Male,75,32,4,0,Did Not Serve,Mormon,No BA,Lawyer,Asian American,Female,68,92,4,1
A1CDHU1KJTE1IJ,1729,Did Not Serve,Mainline protestant,State university,Doctor,Caucasian,Female,52,54,4,1,Did Not Serve,None,No BA,Car dealer,Asian American,Male,45,54,4,0
A1CDHU1KJTE1IJ,1730,Did Not Serve,Catholic,No BA,Business owner,Hispanic,Male,36,54,4,0,Did Not Serve,Jewish,Small college,Business owner,Native American,Male,60,5100,4,1
A1CDHU1KJTE1IJ,1731,Did Not Serve,Catholic,Community college,Doctor,Black,Male,75,210,4,1,Served,Catholic,Community college,Business owner,Black,Male,60,32,4,0
A1CDHU1KJTE1IJ,1732,Did Not Serve,Jewish,Ivy League university,Doctor,Caucasian,Male,60,54,4,0,Served,Mainline protestant,State university,Doctor,White,Male,45,65,4,1
A1CDHU1KJTE1IJ,1733,Served,Mormon,Community college,Business owner,Hispanic,Male,45,210,4,1,Served,Mainline protestant,State university,Car dealer,Hispanic,Male,36,54,4,0
A1CW2Z8GFMMY0C,550,Served,Mainline protestant,Community college,High school teacher,Caucasian,Female,75,32,3,0,Served,None,Small college,Business owner,Native American,Female,52,210,5,1
A1CW2Z8GFMMY0C,551,Did Not Serve,Catholic,Small college,Business owner,Black,Male,68,32,3,1,Did Not Serve,Jewish,No BA,Business owner,Asian American,Female,45,92,3,0
A1CW2Z8GFMMY0C,552,Did Not Serve,None,State university,Business owner,Hispanic,Male,75,32,3,1,Did Not Serve,Catholic,Baptist college,Lawyer,Native American,Female,45,54,3,0
A1CW2Z8GFMMY0C,553,Did Not Serve,Mormon,Community college,Business owner,Hispanic,Male,45,32,3,0,Served,Mainline protestant,Community college,Business owner,Caucasian,Female,36,65,4,1
A1CW2Z8GFMMY0C,554,Served,Evangelical protestant,Community college,High school teacher,White,Male,52,65,3,0,Served,Mainline protestant,State university,Business owner,Black,Male,36,210,4,1
A1CW2Z8GFMMY0C,555,Did Not Serve,Evangelical protestant,Ivy League university,Car dealer,Black,Male,52,32,3,0,Did Not Serve,Mainline protestant,Small college,Doctor,Black,Male,52,54,5,1
A1DIL5CPN9GUU5,854,Served,Jewish,Ivy League university,Doctor,Black,Female,60,5100,3,0,Served,Mainline protestant,Baptist college,Farmer,Asian American,Male,60,210,6,1
A1DIL5CPN9GUU5,855,Did Not Serve,Mormon,State university,Doctor,Native American,Male,52,5100,7,1,Did Not Serve,None,Ivy League university,High school teacher,White,Female,60,32,5,0
A1DIL5CPN9GUU5,856,Did Not Serve,Catholic,Small college,High school teacher,Black,Female,36,5100,7,0,Served,Catholic,Community college,Doctor,Native American,Female,36,65,5,1
A1DIL5CPN9GUU5,857,Did Not Serve,Mormon,Ivy League university,Farmer,White,Female,45,210,7,0,Served,Jewish,Small college,Business owner,Black,Female,52,65,5,1
A1DIL5CPN9GUU5,858,Served,Mormon,State university,Car dealer,White,Female,52,92,4,1,Served,Evangelical protestant,Ivy League university,High school teacher,Asian American,Male,45,210,4,0
A1DIL5CPN9GUU5,859,Served,None,No BA,Car dealer,Asian American,Female,45,5100,4,0,Served,Mainline protestant,Ivy League university,High school teacher,Native American,Male,45,65,6,1
A1DTUWHQUQLXKE,467,Did Not Serve,Catholic,No BA,Business owner,Hispanic,Female,45,32,3,0,Did Not Serve,Mainline protestant,Ivy League university,Lawyer,Hispanic,Male,68,54,5,1
A1DTUWHQUQLXKE,468,Served,Jewish,No BA,Business owner,Hispanic,Female,68,65,3,0,Served,Mainline protestant,Community college,Business owner,Hispanic,Female,45,32,4,1
A1DTUWHQUQLXKE,469,Served,Jewish,Ivy League university,Business owner,White,Female,36,92,6,1,Did Not Serve,None,Community college,Car dealer,Black,Male,45,32,2,0
A1DTUWHQUQLXKE,470,Served,Jewish,State university,Business owner,Hispanic,Female,75,5100,4,0,Served,None,State university,Business owner,White,Female,52,65,5,1
A1DTUWHQUQLXKE,471,Did Not Serve,Jewish,Community college,Car dealer,Hispanic,Female,75,210,2,0,Did Not Serve,Mormon,Baptist college,High school teacher,Asian American,Male,45,210,2,1
A1E0EK09CA5OIO,1316,Served,None,Baptist college,High school teacher,White,Male,60,54,5,0,Served,Jewish,Ivy League university,Lawyer,White,Male,52,32,6,1
A1E0EK09CA5OIO,1317,Did Not Serve,Mormon,Ivy League university,Farmer,Black,Male,36,5100,5,1,Did Not Serve,Mormon,State university,Car dealer,Asian American,Female,68,92,4,0
A1E0EK09CA5OIO,1318,Served,Mainline protestant,Baptist college,Car dealer,Caucasian,Male,68,65,4,0,Did Not Serve,Jewish,Community college,Car dealer,White,Female,36,54,5,1
A1E0EK09CA5OIO,1319,Served,Mormon,No BA,Lawyer,Hispanic,Male,68,65,4,0,Did Not Serve,Mainline protestant,Baptist college,Business owner,Asian American,Female,36,32,5,1
A1E0EK09CA5OIO,1320,Served,Jewish,Ivy League university,Car dealer,White,Male,45,54,5,0,Did Not Serve,Evangelical protestant,State university,High school teacher,Native American,Female,60,210,5,1
A1E0EK09CA5OIO,1321,Served,Mainline protestant,Community college,Car dealer,White,Female,68,65,5,1,Did Not Serve,None,Small college,Farmer,Native American,Male,75,54,4,0
A1E0SESMFVJ6IC,830,Served,Mainline protestant,Baptist college,High school teacher,Caucasian,Female,60,32,7,1,Did Not Serve,Jewish,Ivy League university,High school teacher,Native American,Female,36,5100,1,0
A1E0SESMFVJ6IC,831,Did Not Serve,Catholic,Baptist college,Business owner,Hispanic,Female,68,32,7,1,Served,Jewish,State university,Doctor,Asian American,Male,36,54,1,0
A1E0SESMFVJ6IC,832,Did Not Serve,Evangelical protestant,Community college,High school teacher,Native American,Male,68,65,7,1,Did Not Serve,Mainline protestant,Baptist college,Farmer,Caucasian,Female,36,210,1,0
A1E0SESMFVJ6IC,833,Served,Mormon,Community college,Business owner,Caucasian,Female,45,65,7,1,Did Not Serve,Evangelical protestant,No BA,Car dealer,Black,Male,36,92,1,0
A1E0SESMFVJ6IC,834,Did Not Serve,Catholic,State university,Farmer,Caucasian,Female,60,92,7,0,Did Not Serve,Jewish,Ivy League university,High school teacher,Caucasian,Male,45,5100,7,1
A1E0SESMFVJ6IC,835,Served,Catholic,Baptist college,Car dealer,Asian American,Male,68,65,7,1,Served,None,Community college,Doctor,Black,Male,52,5100,1,0
A1E9IO2W1ZN36,79,Served,None,Small college,Car dealer,Caucasian,Female,36,65,5,1,Served,Evangelical protestant,Baptist college,Farmer,Caucasian,Male,45,5100,3,0
A1E9IO2W1ZN36,80,Served,Catholic,No BA,Farmer,Native American,Male,45,210,6,1,Did Not Serve,Catholic,No BA,Lawyer,White,Female,36,32,5,0
A1E9IO2W1ZN36,81,Served,Mormon,Ivy League university,Lawyer,Black,Female,68,54,6,1,Did Not Serve,Mormon,No BA,Business owner,Asian American,Female,60,92,4,0
A1E9IO2W1ZN36,82,Did Not Serve,Mainline protestant,Community college,High school teacher,White,Female,68,5100,5,0,Did Not Serve,Mormon,Community college,High school teacher,White,Female,36,210,4,1
A1E9IO2W1ZN36,83,Served,Evangelical protestant,Small college,Lawyer,Black,Male,75,5100,6,0,Did Not Serve,Mormon,Community college,Business owner,White,Male,75,210,5,1
A1F6NOYLVNUA9A,1668,Did Not Serve,Mainline protestant,Small college,Car dealer,Black,Male,60,32,4,0,Did Not Serve,Jewish,Small college,Lawyer,Black,Female,52,210,6,1
A1F6NOYLVNUA9A,1669,Did Not Serve,Mormon,Community college,Car dealer,Asian American,Male,45,5100,4,0,Served,None,No BA,Lawyer,Black,Female,45,32,5,1
A1F6NOYLVNUA9A,1670,Served,Catholic,Baptist college,Farmer,White,Male,68,32,5,1,Did Not Serve,None,Community college,Business owner,Hispanic,Female,68,5100,4,0
A1F6NOYLVNUA9A,1671,Served,Catholic,State university,Farmer,Native American,Male,68,32,5,0,Served,Mainline protestant,Community college,Doctor,Caucasian,Male,68,92,5,1
A1F6NOYLVNUA9A,1672,Served,Catholic,State university,Lawyer,Asian American,Male,68,32,5,0,Did Not Serve,None,Baptist college,Doctor,Black,Female,36,32,5,1
A1F6NOYLVNUA9A,1673,Did Not Serve,Evangelical protestant,State university,Business owner,Hispanic,Female,68,32,4,0,Did Not Serve,Mormon,Community college,High school teacher,Hispanic,Female,52,65,5,1
A1FE9H7OYZ8YZ0,303,Served,None,Community college,Lawyer,Native American,Female,60,5100,4,0,Served,None,State university,High school teacher,Caucasian,Male,60,54,6,1
A1FE9H7OYZ8YZ0,304,Served,None,Small college,Business owner,White,Female,52,32,6,1,Served,Catholic,Community college,Farmer,Caucasian,Male,75,32,4,0
A1FE9H7OYZ8YZ0,305,Did Not Serve,Mainline protestant,No BA,Doctor,White,Female,68,32,6,1,Served,Catholic,Ivy League university,Car dealer,Black,Male,60,210,4,0
A1FE9H7OYZ8YZ0,306,Did Not Serve,Catholic,Ivy League university,Doctor,Native American,Female,45,32,4,0,Did Not Serve,Evangelical protestant,Community college,Farmer,Asian American,Female,52,65,6,1
